District Name,Zone,Geographical Region,Development Region,Measure Names,Unit,Measure Values
Achham,Seti,Hill,Far-Western,Severity of poverty,69133,0.0444
Achham,Seti,Hill,Far-Western,Severity of poverty,69132,0.0496
Achham,Seti,Hill,Far-Western,Severity of poverty,69131,0.0757
Achham,Seti,Hill,Far-Western,Severity of poverty,69124,0.0524
Achham,Seti,Hill,Far-Western,Severity of poverty,69123,0.0471
Achham,Seti,Hill,Far-Western,Severity of poverty,69122,0.0705
Achham,Seti,Hill,Far-Western,Severity of poverty,69121,0.0578
Achham,Seti,Hill,Far-Western,Severity of poverty,69113,0.0161
Achham,Seti,Hill,Far-Western,Severity of poverty,69112,0.0413
Achham,Seti,Hill,Far-Western,Severity of poverty,69111,0.0406
Achham,Seti,Hill,Far-Western,Severity of poverty,69105,0.0387
Achham,Seti,Hill,Far-Western,Severity of poverty,69104,0.0447
Achham,Seti,Hill,Far-Western,Severity of poverty,69103,0.0439
Achham,Seti,Hill,Far-Western,Severity of poverty,69102,0.0523
Achham,Seti,Hill,Far-Western,Severity of poverty,69101,0.0709
Achham,Seti,Hill,Far-Western,Severity of poverty,69093,0.0454
Achham,Seti,Hill,Far-Western,Severity of poverty,69092,0.063
Achham,Seti,Hill,Far-Western,Severity of poverty,69091,0.0464
Achham,Seti,Hill,Far-Western,Severity of poverty,69085,0.0406
Achham,Seti,Hill,Far-Western,Severity of poverty,69084,0.0381
Achham,Seti,Hill,Far-Western,Severity of poverty,69083,0.0578
Achham,Seti,Hill,Far-Western,Severity of poverty,69082,0.0676
Achham,Seti,Hill,Far-Western,Severity of poverty,69081,0.0734
Achham,Seti,Hill,Far-Western,Severity of poverty,69073,0.026
Achham,Seti,Hill,Far-Western,Severity of poverty,69072,0.0509
Achham,Seti,Hill,Far-Western,Severity of poverty,69071,0.0663
Achham,Seti,Hill,Far-Western,Severity of poverty,69065,0.0272
Achham,Seti,Hill,Far-Western,Severity of poverty,69064,0.0354
Achham,Seti,Hill,Far-Western,Severity of poverty,69063,0.0259
Achham,Seti,Hill,Far-Western,Severity of poverty,69062,0.0553
Achham,Seti,Hill,Far-Western,Severity of poverty,69061,0.0689
Achham,Seti,Hill,Far-Western,Severity of poverty,69054,0.0107
Achham,Seti,Hill,Far-Western,Severity of poverty,69053,0.0304
Achham,Seti,Hill,Far-Western,Severity of poverty,69052,0.0185
Achham,Seti,Hill,Far-Western,Severity of poverty,69051,0.0369
Achham,Seti,Hill,Far-Western,Severity of poverty,69045,0.0262
Achham,Seti,Hill,Far-Western,Severity of poverty,69044,0.0244
Achham,Seti,Hill,Far-Western,Severity of poverty,69043,0.0318
Achham,Seti,Hill,Far-Western,Severity of poverty,69042,0.0406
Achham,Seti,Hill,Far-Western,Severity of poverty,69041,0.0537
Achham,Seti,Hill,Far-Western,Severity of poverty,69034,0.028
Achham,Seti,Hill,Far-Western,Severity of poverty,69033,0.0286
Achham,Seti,Hill,Far-Western,Severity of poverty,69032,0.0311
Achham,Seti,Hill,Far-Western,Severity of poverty,69031,0.064
Achham,Seti,Hill,Far-Western,Severity of poverty,69024,0.0275
Achham,Seti,Hill,Far-Western,Severity of poverty,69023,0.0426
Achham,Seti,Hill,Far-Western,Severity of poverty,69022,0.0247
Achham,Seti,Hill,Far-Western,Severity of poverty,69021,0.0496
Achham,Seti,Hill,Far-Western,Severity of poverty,69013,0.0126
Achham,Seti,Hill,Far-Western,Severity of poverty,69012,0.03
Achham,Seti,Hill,Far-Western,Severity of poverty,69011,0.0796
Achham,Seti,Hill,Far-Western,Poverty gap,69134,0.0987
Achham,Seti,Hill,Far-Western,Poverty gap,69133,0.1212
Achham,Seti,Hill,Far-Western,Poverty gap,69132,0.1333
Achham,Seti,Hill,Far-Western,Poverty gap,69131,0.19
Achham,Seti,Hill,Far-Western,Poverty gap,69124,0.1411
Achham,Seti,Hill,Far-Western,Poverty gap,69123,0.1284
Achham,Seti,Hill,Far-Western,Poverty gap,69122,0.1776
Achham,Seti,Hill,Far-Western,Poverty gap,69121,0.1517
Achham,Seti,Hill,Far-Western,Poverty gap,69113,0.0524
Achham,Seti,Hill,Far-Western,Poverty gap,69112,0.1151
Achham,Seti,Hill,Far-Western,Poverty gap,69111,0.114
Achham,Seti,Hill,Far-Western,Poverty gap,69105,0.1059
Achham,Seti,Hill,Far-Western,Poverty gap,69104,0.1228
Achham,Seti,Hill,Far-Western,Poverty gap,69103,0.1225
Achham,Seti,Hill,Far-Western,Poverty gap,69102,0.1406
Achham,Seti,Hill,Far-Western,Poverty gap,69101,0.1796
Achham,Seti,Hill,Far-Western,Poverty gap,69093,0.1234
Achham,Seti,Hill,Far-Western,Poverty gap,69092,0.1626
Achham,Seti,Hill,Far-Western,Poverty gap,69091,0.1246
Achham,Seti,Hill,Far-Western,Poverty gap,69085,0.1113
Achham,Seti,Hill,Far-Western,Poverty gap,69084,0.1022
Achham,Seti,Hill,Far-Western,Poverty gap,69083,0.1505
Achham,Seti,Hill,Far-Western,Poverty gap,69082,0.1717
Achham,Seti,Hill,Far-Western,Poverty gap,69081,0.1856
Achham,Seti,Hill,Far-Western,Poverty gap,69073,0.0752
Achham,Seti,Hill,Far-Western,Poverty gap,69072,0.1332
Achham,Seti,Hill,Far-Western,Poverty gap,69071,0.1675
Achham,Seti,Hill,Far-Western,Poverty gap,69065,0.0827
Achham,Seti,Hill,Far-Western,Poverty gap,69064,0.1011
Achham,Seti,Hill,Far-Western,Poverty gap,69063,0.0777
Achham,Seti,Hill,Far-Western,Poverty gap,69062,0.1462
Achham,Seti,Hill,Far-Western,Poverty gap,69061,0.1753
Achham,Seti,Hill,Far-Western,Poverty gap,69054,0.0361
Achham,Seti,Hill,Far-Western,Poverty gap,69053,0.0835
Achham,Seti,Hill,Far-Western,Poverty gap,69052,0.0566
Achham,Seti,Hill,Far-Western,Poverty gap,69051,0.1036
Achham,Seti,Hill,Far-Western,Poverty gap,69045,0.0811
Achham,Seti,Hill,Far-Western,Poverty gap,69044,0.0749
Achham,Seti,Hill,Far-Western,Poverty gap,69043,0.0919
Achham,Seti,Hill,Far-Western,Poverty gap,69042,0.1151
Achham,Seti,Hill,Far-Western,Poverty gap,69041,0.1437
Achham,Seti,Hill,Far-Western,Poverty gap,69034,0.0805
Achham,Seti,Hill,Far-Western,Poverty gap,69033,0.0842
Achham,Seti,Hill,Far-Western,Poverty gap,69032,0.0921
Achham,Seti,Hill,Far-Western,Poverty gap,69031,0.1636
Achham,Seti,Hill,Far-Western,Poverty gap,69024,0.0773
Achham,Seti,Hill,Far-Western,Poverty gap,69023,0.1153
Achham,Seti,Hill,Far-Western,Poverty gap,69022,0.073
Achham,Seti,Hill,Far-Western,Poverty gap,69021,0.1342
Achham,Seti,Hill,Far-Western,Poverty gap,69013,0.0395
Achham,Seti,Hill,Far-Western,Poverty gap,69012,0.0868
Achham,Seti,Hill,Far-Western,Poverty gap,69011,0.1963
Achham,Seti,Hill,Far-Western,Percent of poor,69134,40.87
Achham,Seti,Hill,Far-Western,Percent of poor,69133,46.49
Achham,Seti,Hill,Far-Western,Percent of poor,69132,49.74
Achham,Seti,Hill,Far-Western,Percent of poor,69131,63.71
Achham,Seti,Hill,Far-Western,Percent of poor,69124,52.59
Achham,Seti,Hill,Far-Western,Percent of poor,69123,48.88
Achham,Seti,Hill,Far-Western,Percent of poor,69122,60.19
Achham,Seti,Hill,Far-Western,Percent of poor,69121,54.65
Achham,Seti,Hill,Far-Western,Percent of poor,69113,25.52
Achham,Seti,Hill,Far-Western,Percent of poor,69112,45.18
Achham,Seti,Hill,Far-Western,Percent of poor,69111,45.17
Achham,Seti,Hill,Far-Western,Percent of poor,69105,40.92
Achham,Seti,Hill,Far-Western,Percent of poor,69104,47.27
Achham,Seti,Hill,Far-Western,Percent of poor,69103,48.01
Achham,Seti,Hill,Far-Western,Percent of poor,69102,52.14
Achham,Seti,Hill,Far-Western,Percent of poor,69101,61.18
Achham,Seti,Hill,Far-Western,Percent of poor,69093,46.91
Achham,Seti,Hill,Far-Western,Percent of poor,69092,57.04
Achham,Seti,Hill,Far-Western,Percent of poor,69091,46.6
Achham,Seti,Hill,Far-Western,Percent of poor,69085,42.86
Achham,Seti,Hill,Far-Western,Percent of poor,69084,38.53
Achham,Seti,Hill,Far-Western,Percent of poor,69083,53.76
Achham,Seti,Hill,Far-Western,Percent of poor,69082,58.79
Achham,Seti,Hill,Far-Western,Percent of poor,69081,62.76
Achham,Seti,Hill,Far-Western,Percent of poor,69073,31.44
Achham,Seti,Hill,Far-Western,Percent of poor,69072,48.08
Achham,Seti,Hill,Far-Western,Percent of poor,69071,57.06
Achham,Seti,Hill,Far-Western,Percent of poor,69065,36.55
Achham,Seti,Hill,Far-Western,Percent of poor,69064,41.17
Achham,Seti,Hill,Far-Western,Percent of poor,69063,33.99
Achham,Seti,Hill,Far-Western,Percent of poor,69062,53.07
Achham,Seti,Hill,Far-Western,Percent of poor,69061,60.12
Achham,Seti,Hill,Far-Western,Percent of poor,69054,18.44
Achham,Seti,Hill,Far-Western,Percent of poor,69053,32.75
Achham,Seti,Hill,Far-Western,Percent of poor,69052,25.75
Achham,Seti,Hill,Far-Western,Percent of poor,69051,41.38
Achham,Seti,Hill,Far-Western,Percent of poor,69045,36.42
Achham,Seti,Hill,Far-Western,Percent of poor,69044,33.8
Achham,Seti,Hill,Far-Western,Percent of poor,69043,38.14
Achham,Seti,Hill,Far-Western,Percent of poor,69042,46.22
Achham,Seti,Hill,Far-Western,Percent of poor,69041,53.12
Achham,Seti,Hill,Far-Western,Percent of poor,69034,33.57
Achham,Seti,Hill,Far-Western,Percent of poor,69033,36.04
Achham,Seti,Hill,Far-Western,Percent of poor,69032,39.33
Achham,Seti,Hill,Far-Western,Percent of poor,69031,56.77
Achham,Seti,Hill,Far-Western,Percent of poor,69024,31.39
Achham,Seti,Hill,Far-Western,Percent of poor,69023,43.74
Achham,Seti,Hill,Far-Western,Percent of poor,69022,31.6
Achham,Seti,Hill,Far-Western,Percent of poor,69021,50.43
Achham,Seti,Hill,Far-Western,Percent of poor,69013,18.97
Achham,Seti,Hill,Far-Western,Percent of poor,69012,36.1
Achham,Seti,Hill,Far-Western,Percent of poor,69011,64.23
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69134,23447.663
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69133,22232.646
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69132,21480.386
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69131,18336.022
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69124,20677.488
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69123,21626.069
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69122,19092.169
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69121,20312.753
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69113,28285.737
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69112,22552.967
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69111,22480.241
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69105,24195.503
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69104,22212.407000000007
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69103,21662.569
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69102,20886.864
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69101,18902.502
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69093,22332.579
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69092,19808.568
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69091,22405.062
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69085,23673.407000000007
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69084,26479.116
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69083,20582.014
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69082,19488.533
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69081,18560.133
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69073,27406.896
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69072,22363.662
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69071,19964.31
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69065,24296.987
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69064,23521.117
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69063,25859.679
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69062,20796.201
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69061,19164.134
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69054,31778.368
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69053,28244.533
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69052,28821.079
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69051,23623.763
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69045,24391.304
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69044,25193.35
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69043,24820.688
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69042,21987.234
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69041,20520.229
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69034,26344.09
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69033,24801.248
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69032,23801.008
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69031,19810.58
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69024,28313.301
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69023,23591.195
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69022,26656.792
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69021,21237.922
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69013,32075.321
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69012,25221.514
Achham,Seti,Hill,Far-Western,Average per capita consumption (NR),69011,18298.054
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51113,1772.8824
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51112,1120.2932
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51111,1183.4244
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51103,2762.2229
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51102,478.8114
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51101,982.8469
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51093,1468.3816
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51092,733.7115
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51091,1753.9029
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51083,1517.23
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51082,2759.7425
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51081,611.01
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51072,7060.3005
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51071,2589.0065
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51062,3828.9068
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51061,3677.3616
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51052,3032.2402
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51051,4887.307
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51042,873.1471
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51041,1586.3533
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51032,1317.2544
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51031,3197.1186
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51022,2672.7052
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51021,988.196
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51012,1360.3527
Arghakhanchi,Lumbini,Hill,Western,Number of poor,51011,2056.9824
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51113,0.0205
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51112,0.0199
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51111,0.0228
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51103,0.0284
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51102,0.0181
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51101,0.0188
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51093,0.0377
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51092,0.0254
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51091,0.0196
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51083,0.008
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51082,0.0234
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51081,0.0256
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51072,0.048
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51071,0.0332
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51062,0.0242
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51061,0.0366
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51052,0.0333
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51051,0.025
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51042,0.0131
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51041,0.0127
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51032,0.0241
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51031,0.0146
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51022,0.0162
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51021,0.0177
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51012,0.0134
Arghakhanchi,Lumbini,Hill,Western,Severity of poverty,51011,0.0229
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51113,0.0599
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51112,0.0599
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51111,0.0693
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51103,0.0796
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51102,0.0561
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51101,0.0566
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51093,0.1028
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51092,0.0733
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51091,0.059
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51083,0.0241
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51082,0.0672
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51081,0.0689
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51072,0.1278
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51071,0.0949
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51062,0.0699
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51061,0.1025
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51052,0.0937
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51051,0.0721
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51042,0.0404
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51041,0.0394
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51032,0.0705
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51031,0.0463
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51022,0.0501
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51021,0.0535
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51012,0.0418
Arghakhanchi,Lumbini,Hill,Western,Poverty gap,51011,0.0651
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51113,25.84
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51112,26.68
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51111,31.11
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51103,32.47
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51102,25.98
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51101,25.39
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51093,39.88
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51092,31.05
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51091,26.49
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51083,11.0
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51082,28.25
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51081,27.0
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51072,47.65
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51071,38.95
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51062,29.56
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51061,41.12
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51052,38.06
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51051,30.46
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51042,18.83
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51041,18.53
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51032,30.24
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51031,22.23
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51022,23.32
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51021,24.28
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51012,19.81
Arghakhanchi,Lumbini,Hill,Western,Percent of poor,51011,27.18
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51113,29385.29
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51112,28269.955
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51111,26058.053
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51103,26953.716
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51102,27679.52
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51101,28627.14
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51093,24468.218
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51092,26428.074
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51091,27972.814
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51083,43808.57
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51082,28405.636
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51081,28936.54
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51072,22020.711
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51071,24142.825
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51062,28158.346
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51061,23476.554
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51052,24328.668
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51051,27073.753
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51042,31949.5
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51041,31862.135
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51032,27009.982000000004
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51031,29350.062
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51022,29134.797
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51021,28871.931
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51012,31112.538
Arghakhanchi,Lumbini,Hill,Western,Average per capita consumption (NR),51011,28705.982000000004
Baglung,Dhawalagiri,Hill,Western,Number of poor,45141,2260.72
Baglung,Dhawalagiri,Hill,Western,Number of poor,45132,3963.9169
Baglung,Dhawalagiri,Hill,Western,Number of poor,45131,5109.858
Baglung,Dhawalagiri,Hill,Western,Number of poor,45124,902.3553
Baglung,Dhawalagiri,Hill,Western,Number of poor,45123,845.985
